,day,title,type_meal,Portion,Calories,Carbs,Fat,Protein,Fiber,Meal,validador
29,5,BLT sandwich,Dinner,1.5,1018,435,248,280,74,"<a href=https://www.eatthismuch.com/recipe/nutrition/turkey-bacon-blt-sandwich,905840/>BLT sandwich</a>",686.0
30,5,Peanut Butter & Carrots,Snack,1.5,357,285,242,132,90,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-carrots,386810/>Peanut Butter & Carrots</a>",241.0
31,6,Tropical Green Smoothie,Breakfast,1.1,290,655,36,49,84,"<a href=https://www.eatthismuch.com/recipe/nutrition/tropical-green-smoothie,934843/>Tropical Green Smoothie</a>",270.0
32,6,Morning Roasted Potatoes,Breakfast,1.1,250,320,126,38,40,"<a href=https://www.eatthismuch.com/recipe/nutrition/morning-roasted-potatoes,36642/>Morning Roasted Potatoes</a>",233.0
33,6,Big Bad Bean Burrito,Lunch,1.1,525,332,128,81,121,"<a href=https://www.eatthismuch.com/recipe/nutrition/big-bad-bean-burrito,57131/>Big PB&J Sandwich</a>",488.0
34,6,Banana,Lunch,1.1,226,290,4,14,33,"<a href=https://www.eatthismuch.com/recipe/nutrition/banana,474253/>Banana</a>",210.0
35,6,Microwave Parmesan Lemon Chicken and Brussels Sprouts,Dinner,1.1,1242,256,353,553,103,"<a href=https://www.eatthismuch.com/recipe/nutrition/microwave-parmesan-lemon-chicken-and-brussels-spro,1016886/>Microwave Parmesan Lemon Chicken and Brussels Sprouts</a>",1154.0
36,6,Tropical protein smoothie,Snack,1.1,457,828,23,305,61,"<a href=https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/>Strawberry protein smoothie</a>",425.0
37,7,Strawberry Banana Protein Shake,Breakfast,1.1,271,314,47,268,39,"<a href=https://www.eatthismuch.com/recipe/nutrition/strawberry-banana-protein-shake,949310/>Strawberry Protein Shake</a>",257.0
38,7,Tropical protein smoothie,Lunch,1.1,897,811,23,299,60,"<a href=https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/>Strawberry protein smoothie</a>",850.0
39,7,Peanut Butter & Carrots,Lunch,1.1,508,202,172,93,64,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-carrots,386810/>Peanut Butter & Carrots</a>",482.0
40,7,Gourmet Grilled Cheese,Dinner,1.1,967,281,259,341,40,"<a href=https://www.eatthismuch.com/recipe/nutrition/gourmet-grilled-cheese,36733/>Gourmet Grilled Cheese</a>",916.0
41,7,Corn Flakes,Snack,1.1,234,372,52,106,9,"<a href=https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/>Corn Flakes</a>",222.0
42,7,Granola,Snack,1.1,146,159,71,44,27,"<a href=https://www.eatthismuch.com/recipe/nutrition/granola,473426/>Granola</a>",139.0
43,8,Ham and Egg Scramble,Breakfast,1.2,340,64,189,339,7,"<a href=https://www.eatthismuch.com/recipe/nutrition/ham-and-egg-scramble,928005/>Ham and Egg Scramble</a>",291.0
44,8,Cinnamon Apple Bites,Breakfast,1.2,94,252,2,5,32,"<a href=https://www.eatthismuch.com/recipe/nutrition/cinnamon-apple-bites,39304/>Cinnamon Apple Bites</a>",81.0
45,8,Big Bad Bean Burrito,Lunch,1.2,570,361,139,88,132,"<a href=https://www.eatthismuch.com/recipe/nutrition/big-bad-bean-burrito,57131/>Big PB&J Sandwich</a>",488.0
46,8,Basic protein shake,Lunch,1.2,566,171,67,374,0,"<a href=https://www.eatthismuch.com/recipe/nutrition/basic-protein-shake,34528/>Basic protein shake</a>",484.0
47,8,Balsamic Zucchini Sandwich,Dinner,1.2,956,885,46,232,138,"<a href=https://www.eatthismuch.com/recipe/nutrition/balsamic-zucchini-sandwich,1015952/>Balsamic Zucchini Sandwich</a>",818.0
48,8,Easy Parmesan Crisps,Dinner,1.2,194,8,64,88,0,"<a href=https://www.eatthismuch.com/recipe/nutrition/easy-parmesan-crisps,1488023/>Easy Parmesan Crisps</a>",166.0
49,8,Plain Tuna Salad,Snack,1.2,209,26,56,376,0,"<a href=https://www.eatthismuch.com/recipe/nutrition/plain-tuna-salad,905559/>Plain Tuna Salad</a>",179.0
50,8,Oranges,Snack,1.2,72,180,2,14,36,"<a href=https://www.eatthismuch.com/recipe/nutrition/oranges,477502/>Oranges</a>",62.0
51,9,Egg and Cheese Breakfast Sandwich,Breakfast,1.2,306,294,105,225,39,"<a href=https://www.eatthismuch.com/recipe/nutrition/egg-and-cheese-breakfast-sandwich,717847/>Egg and Cheese Breakfast Sandwich</a>",261.0
52,9,Apple,Breakfast,1.2,111,294,3,5,51,"<a href=https://www.eatthismuch.com/recipe/nutrition/apple,473713/>Apple</a>",95.0
53,9,Tropical protein smoothie,Lunch,1.2,996,901,25,333,66,"<a href=https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/>Strawberry protein smoothie</a>",850.0
54,9,Peanut Butter & Carrots,Lunch,1.2,565,225,191,104,71,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-carrots,386810/>Peanut Butter & Carrots</a>",482.0
55,9,Pasta with Red Sauce and Mozzarella,Dinner,1.2,724,558,84,188,100,"<a href=https://www.eatthismuch.com/recipe/nutrition/pasta-with-red-sauce-and-mozzarella,907167/>Pasta with Red Sauce and Mozzarella</a>",618.0
56,9,Basic protein shake,Snack,1.2,283,172,68,375,0,"<a href=https://www.eatthismuch.com/recipe/nutrition/basic-protein-shake,34528/>Basic protein shake</a>",242.0
57,10,Mixed Berry Morning Smoothie,Breakfast,0.8,369,378,105,339,81,"<a href=https://www.eatthismuch.com/recipe/nutrition/mixed-berry-morning-smoothie,924568/>Mixed Berry Morning Smoothie</a>",437.0
58,10,Tropical protein smoothie,Lunch,0.8,719,650,18,240,48,"<a href=https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/>Strawberry protein smoothie</a>",850.0
59,10,Kielbasa and Cauliflower Stir-Fry,Dinner,0.8,1056,220,371,291,42,"<a href=https://www.eatthismuch.com/recipe/nutrition/kielbasa-and-cauliflower-stir-fry,907109/>Kielbasa and Cauliflower Stir-Fry</a>",1248.0
60,10,Crispy Cheese Quesadilla,Dinner,0.8,621,206,187,145,10,"<a href=https://www.eatthismuch.com/recipe/nutrition/crispy-cheese-quesadilla,905822/>Crispy Cheese Quesadilla</a>",734.0
61,10,Turkey Sausage and Pesto Breakfast Sandwich,Snack,0.8,219,225,105,87,20,"<a href=https://www.eatthismuch.com/recipe/nutrition/turkey-sausage-and-pesto-breakfast-sandwich,906514/>Turkey Sandwich</a>",259.0
62,11,Peanut Butter Protein Oats,Breakfast,1.1,420,351,149,384,56,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-protein-oats,905819/>Peanut Butter Protein Oats</a>",390.0
63,11,Peanut butter and jelly,Lunch,1.1,799,449,198,133,57,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-jelly,33486/>Peanut butter and jelly</a>",742.0
64,11,Carrots with Hummus,Lunch,1.1,377,241,80,76,85,"<a href=https://www.eatthismuch.com/recipe/nutrition/carrots-with-hummus,34111/>Carrots with Hummus</a>",350.0
65,11,Gourmet Grilled Cheese,Dinner,1.1,987,287,265,348,40,"<a href=https://www.eatthismuch.com/recipe/nutrition/gourmet-grilled-cheese,36733/>Gourmet Grilled Cheese</a>",916.0
66,11,Corn Flakes,Snack,1.1,239,380,53,108,9,"<a href=https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/>Corn Flakes</a>",222.0
67,11,Granola,Snack,1.1,149,162,73,45,28,"<a href=https://www.eatthismuch.com/recipe/nutrition/granola,473426/>Granola</a>",139.0
68,12,Homemade Turkey McMuffins,Breakfast,0.9,399,260,203,286,40,"<a href=https://www.eatthismuch.com/recipe/nutrition/homemade-turkey-mcmuffins,927330/>Homemade Turkey McMuffins</a>",438.0
69,12,3 Herb Breakfast Patties,Breakfast,0.9,269,2,180,249,1,"<a href=https://www.eatthismuch.com/recipe/nutrition/3-herb-breakfast-patties,925705/>3 Herb Breakfast Patties</a>",295.0
70,12,"Turkey, Provolone, and Sprout Sandwich",Lunch,0.9,1016,431,239,315,104,"<a href=https://www.eatthismuch.com/recipe/nutrition/turkey-provolone-and-sprout-sandwich,1028373/>Turkey and Provolone Sandwich</a>",1114.0
71,12,Almond Butter Chicken Salad Lettuce Wrap,Dinner,0.9,833,202,140,524,43,"<a href=https://www.eatthismuch.com/recipe/nutrition/almond-butter-chicken-salad-lettuce-wrap,1008886/>Almond Butter Chicken Salad Lettuce Wrap</a>",914.0
72,12,Baked Sweet Potato Fries,Dinner,0.9,244,243,21,20,37,"<a href=https://www.eatthismuch.com/recipe/nutrition/baked-sweet-potato-fries,936932/>Baked Sweet Potato Fries</a>",268.0
73,12,Spinach Avocado Smoothie Bowl,Snack,0.9,140,66,120,17,46,"<a href=https://www.eatthismuch.com/recipe/nutrition/spinach-avocado-smoothie-bowl,1028348/>Spinach Avocado Smoothie Bowl</a>",154.0
74,12,Banana,Snack,0.9,95,246,3,11,28,"<a href=https://www.eatthismuch.com/recipe/nutrition/banana,474253/>Banana</a>",105.0
75,13,Knock-Oats,Breakfast,1.1,484,682,210,150,105,"<a href=https://www.eatthismuch.com/recipe/nutrition/knock-oats,56257/>Knock-Oats</a>",451.0
76,13,Spinach and Turkey Wrap,Lunch,1.1,623,293,142,165,20,"<a href=https://www.eatthismuch.com/recipe/nutrition/spinach-and-turkey-wrap,906881/>Spinach and Turkey Wrap</a>",580.0
77,13,Basic protein shake,Lunch,1.1,520,157,62,343,0,"<a href=https://www.eatthismuch.com/recipe/nutrition/basic-protein-shake,34528/>Basic protein shake</a>",484.0
78,13,Almond Butter Chicken Salad Lettuce Wrap,Dinner,1.1,982,238,165,617,51,"<a href=https://www.eatthismuch.com/recipe/nutrition/almond-butter-chicken-salad-lettuce-wrap,1008886/>Almond Butter Chicken Salad Lettuce Wrap</a>",914.0
79,13,Corn Flakes,Snack,1.1,238,379,53,108,9,"<a href=https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/>Corn Flakes</a>",222.0
80,13,Almonds,Snack,1.1,176,65,152,64,37,"<a href=https://www.eatthismuch.com/recipe/nutrition/almonds,524950/>Almonds</a>",164.0
81,14,Almond Butter Smoothie (Paleo),Breakfast,1.1,489,720,218,100,107,"<a href=https://www.eatthismuch.com/recipe/nutrition/almond-butter-smoothie-paleo,1472986/>Almond Butter Smoothie</a>",462.0
82,14,Cream Cheese Toast,Breakfast,1.1,202,287,71,67,32,"<a href=https://www.eatthismuch.com/recipe/nutrition/cream-cheese-toast,905955/>Cream Cheese Toast</a>",191.0
83,14,Apricot Jam and Almond Butter Sandwich,Lunch,1.1,619,416,117,110,60,"<a href=https://www.eatthismuch.com/recipe/nutrition/apricot-jam-and-almond-butter-sandwich,907177/>Apricot Jam and Almond Butter Sandwich</a>",584.0
84,14,Cheese slices,Lunch,1.1,243,4,101,72,0,"<a href=https://www.eatthismuch.com/recipe/nutrition/cheese-slices,472320/>Cheese slices</a>",230.0
85,14,Balsamic Chicken and Mushrooms,Dinner,1.1,725,49,92,574,7,"<a href=https://www.eatthismuch.com/recipe/nutrition/balsamic-chicken-and-mushrooms,1017635/>Balsamic Chicken and Mushrooms</a>",684.0
86,14,"Garlic and Cream Cheese Cauliflower ""Mashed Potatoes""",Dinner,1.1,296,196,57,86,61,"<a href=https://www.eatthismuch.com/recipe/nutrition/garlic-and-cream-cheese-cauliflower-mashed-potatoe,907072/>Garlic and Cream Cheese Cauliflower ""Mashed Potatoes""</a>",280.0
87,14,Corn Flakes,Snack,1.1,235,374,53,107,9,"<a href=https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/>Corn Flakes</a>",222.0
88,14,Banana Almond Butter,Snack,1.1,215,318,98,48,49,"<a href=https://www.eatthismuch.com/recipe/nutrition/banana-almond-butter,717739/>Banana Almond Butter</a>",203.0
89,15,Blueberry protein pudding,Breakfast,1.2,511,316,42,862,31,"<a href=https://www.eatthismuch.com/recipe/nutrition/blueberry-protein-pudding,386736/>Blueberry protein pudding</a>",432.0
90,15,Buttered Toast with Cinnamon,Breakfast,1.2,170,215,66,66,39,"<a href=https://www.eatthismuch.com/recipe/nutrition/buttered-toast-with-cinnamon,906422/>Buttered Toast with Cinnamon</a>",144.0
91,15,Big Bad Bean Burrito,Lunch,1.2,578,366,140,90,133,"<a href=https://www.eatthismuch.com/recipe/nutrition/big-bad-bean-burrito,57131/>Big PB&J Sandwich</a>",488.0
92,15,Almonds,Lunch,1.2,388,72,168,71,41,"<a href=https://www.eatthismuch.com/recipe/nutrition/almonds,524950/>Almonds</a>",328.0
93,15,Pasta Caprice,Dinner,1.2,860,697,91,191,53,"<a href=https://www.eatthismuch.com/recipe/nutrition/pasta-caprice,927225/>Pasta Caprice</a>",726.0
94,15,Apples and Almond Butter,Snack,1.2,344,368,214,85,91,"<a href=https://www.eatthismuch.com/recipe/nutrition/apples-and-almond-butter,55276/>Apples and Almond Butter</a>",291.0
95,15,Granola,Snack,1.2,164,178,80,49,30,"<a href=https://www.eatthismuch.com/recipe/nutrition/granola,473426/>Granola</a>",139.0
96,16,Peanut Butter Protein Oats,Breakfast,1.1,426,356,151,390,56,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-protein-oats,905819/>Peanut Butter Protein Oats</a>",390.0
97,16,Tropical protein smoothie,Lunch,1.1,929,840,24,310,62,"<a href=https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/>Strawberry protein smoothie</a>",850.0
98,16,Peanut Butter & Carrots,Lunch,1.1,526,209,178,97,66,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-carrots,386810/>Peanut Butter & Carrots</a>",482.0
99,16,Tuna Macaroni Goulash,Dinner,1.1,727,588,38,272,52,"<a href=https://www.eatthismuch.com/recipe/nutrition/tuna-macaroni-goulash,34719/>Tuna Macaroni Goulash</a>",666.0
100,16,Apples and Almond Butter,Snack,1.1,318,339,197,78,84,"<a href=https://www.eatthismuch.com/recipe/nutrition/apples-and-almond-butter,55276/>Apples and Almond Butter</a>",291.0
101,16,Oranges,Snack,1.1,67,168,2,13,33,"<a href=https://www.eatthismuch.com/recipe/nutrition/oranges,477502/>Oranges</a>",62.0
102,17,Peanut Butter Protein Oats,Breakfast,1.3,494,413,176,452,65,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-protein-oats,905819/>Peanut Butter Protein Oats</a>",390.0
103,17,Basic protein shake,Lunch,1.3,614,186,73,406,0,"<a href=https://www.eatthismuch.com/recipe/nutrition/basic-protein-shake,34528/>Basic protein shake</a>",484.0
104,17,Grapes,Lunch,1.3,263,346,2,13,17,"<a href=https://www.eatthismuch.com/recipe/nutrition/grapes,474464/>Grapes</a>",208.0
105,17,Turkey Bacon BLT Sandwich,Dinner,1.3,1304,397,367,417,63,"<a href=https://www.eatthismuch.com/recipe/nutrition/turkey-bacon-blt-sandwich,905840/>Turkey Bacon BLT Sandwich</a>",1028.0
106,17,Peanut Butter & Carrots,Snack,1.3,305,243,206,112,77,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-carrots,386810/>Peanut Butter & Carrots</a>",241.0
107,18,Peach and Blueberry Parfait,Breakfast,1.2,509,606,135,389,82,"<a href=https://www.eatthismuch.com/recipe/nutrition/peach-and-blueberry-parfait,717844/>Peach Yogurt Parfait</a>",420.0
108,18,Coconut Milk Protein Shake,Lunch,1.2,874,230,97,619,24,"<a href=https://www.eatthismuch.com/recipe/nutrition/coconut-milk-protein-shake,34529/>Coconut Milk Protein Shake</a>",720.0
109,18,"Mushroom, Spinach, and Tomato Pita Pizza",Dinner,1.2,869,593,160,202,105,"<a href=https://www.eatthismuch.com/recipe/nutrition/mushroom-spinach-and-tomato-pita-pizza,942506/>Mushroom, Spinach, and Tomato Pita Pizza</a>",716.0
110,18,Stir Fried Mixed Veggies in Soy Sauce,Dinner,1.2,403,237,92,69,70,"<a href=https://www.eatthismuch.com/recipe/nutrition/stir-fried-mixed-veggies-in-soy-sauce,906709/>Stir Fried Mixed Veggies in Soy Sauce</a>",332.0
111,18,Corn Flakes,Snack,1.2,269,428,60,122,10,"<a href=https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/>Corn Flakes</a>",222.0
112,18,Oranges,Snack,1.2,75,186,2,14,37,"<a href=https://www.eatthismuch.com/recipe/nutrition/oranges,477502/>Oranges</a>",62.0
113,19,Orange-Vanilla Protein Smoothie,Breakfast,1.2,456,695,21,320,17,"<a href=https://www.eatthismuch.com/recipe/nutrition/orange-vanilla-protein-smoothie,717903/>Orange-Vanilla Protein Smoothie</a>",390.0
114,19,Tropical protein smoothie,Lunch,1.2,994,899,25,332,66,"<a href=https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/>Strawberry protein smoothie</a>",850.0
115,19,Almonds,Lunch,1.2,383,71,166,70,40,"<a href=https://www.eatthismuch.com/recipe/nutrition/almonds,524950/>Almonds</a>",328.0
116,19,Chicken Fajitas,Dinner,1.2,865,393,132,367,37,"<a href=https://www.eatthismuch.com/recipe/nutrition/chicken-fajitas,412924/>Chicken Fajitas</a>",740.0
117,19,Granola,Snack,1.2,162,176,79,49,30,"<a href=https://www.eatthismuch.com/recipe/nutrition/granola,473426/>Granola</a>",139.0
118,19,Grapes,Snack,1.2,121,319,2,12,16,"<a href=https://www.eatthismuch.com/recipe/nutrition/grapes,474464/>Grapes</a>",104.0
119,20,Vanilla Banana Milkshake,Breakfast,1.3,455,764,111,162,41,"<a href=https://www.eatthismuch.com/recipe/nutrition/vanilla-banana-milkshake,906702/>Vanilla Banana Milkshake</a>",364.0
120,20,Fruit & Vegetable Plate with Almonds & Cheese,Lunch,1.3,676,331,177,161,101,"<a href=https://www.eatthismuch.com/recipe/nutrition/fruit-vegetable-plate-with-almonds-cheese,1478259/>Fruit & Vegetable Plate with Almonds & Cheese</a>",540.0
121,20,Cinnamon Apple Delight,Lunch,1.3,561,483,13,225,80,"<a href=https://www.eatthismuch.com/recipe/nutrition/cinnamon-apple-delight,46501/>Cinnamon Apple Delight</a>",448.0
122,20,Chicken & Mashed Potatoes,Dinner,1.3,884,186,174,506,23,"<a href=https://www.eatthismuch.com/recipe/nutrition/chicken-mashed-potatoes,1012750/>Chicken & Mashed Potatoes</a>",706.0
123,20,Roasted Broccoli with Parmesan Lemon Butter Sauce,Dinner,1.3,175,51,67,36,0,"<a href=https://www.eatthismuch.com/recipe/nutrition/roasted-broccoli-with-parmesan-lemon-butter-sauce,934849/>Roasted Broccoli with Parmesan Lemon Butter Sauce</a>",140.0
124,20,"Banana, Almond Butter and Raisins",Snack,1.3,221,388,77,45,52,"<a href=https://www.eatthismuch.com/recipe/nutrition/banana-almond-butter-and-raisins,55354/>Banana, Almond Butter and Raisins</a>",177.0
125,21,Scrambled Eggs with Sausage and Feta,Breakfast,1.3,196,35,118,182,5,"<a href=https://www.eatthismuch.com/recipe/nutrition/scrambled-eggs-with-sausage-and-feta,907211/>Scrambled Eggs with Sausage and Feta</a>",148.0
126,21,"Orange, Banana, and Grape Smoothie",Breakfast,1.3,182,451,5,22,29,"<a href=https://www.eatthismuch.com/recipe/nutrition/orange-banana-and-grape-smoothie,905717/>Banana Smoothie</a>",137.0
127,21,Peanut Butter and Honey Sandwich on Rye,Lunch,1.3,983,559,240,175,83,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-honey-sandwich-on-rye,717828/>Peanut Butter and Honey Sandwich on Rye</a>",740.0
128,21,Cucumber Slices,Lunch,1.3,42,50,1,9,6,"<a href=https://www.eatthismuch.com/recipe/nutrition/cucumber-slices,1462006/>Cucumber Slices</a>",32.0
129,21,Almond Butter Chicken Salad Lettuce Wrap,Dinner,1.3,1214,295,204,764,63,"<a href=https://www.eatthismuch.com/recipe/nutrition/almond-butter-chicken-salad-lettuce-wrap,1008886/>Almond Butter Chicken Salad Lettuce Wrap</a>",914.0
130,21,Zesty Tomato Soup,Dinner,1.3,90,97,5,19,14,"<a href=https://www.eatthismuch.com/recipe/nutrition/zesty-tomato-soup,45257/>Zesty Tomato Soup</a>",68.0
131,21,Peanut Butter & Celery,Snack,1.3,277,142,215,114,61,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-celery,34219/>Peanut Butter & Celery</a>",209.0
132,22,"Spinach, Pepper, and Tomato Scramble on Toast",Breakfast,1.1,343,357,123,225,68,"<a href=https://www.eatthismuch.com/recipe/nutrition/spinach-pepper-and-tomato-scramble-on-toast,1022429/>Spinach, Pepper, and Tomato Scramble on Toast</a>",307.0
133,22,Quick and Easy Home Fries,Breakfast,1.1,329,559,99,67,40,"<a href=https://www.eatthismuch.com/recipe/nutrition/quick-and-easy-home-fries,206224/>Quick and Easy Home Fries</a>",295.0
134,22,Big Bad Bean Burrito,Lunch,1.1,545,345,133,84,126,"<a href=https://www.eatthismuch.com/recipe/nutrition/big-bad-bean-burrito,57131/>Big PB&J Sandwich</a>",488.0
135,22,Cheese slices,Lunch,1.1,257,4,107,76,0,"<a href=https://www.eatthismuch.com/recipe/nutrition/cheese-slices,472320/>Cheese slices</a>",230.0
136,22,Easy Grilled Chicken Teriyaki,Dinner,1.1,834,142,95,644,1,"<a href=https://www.eatthismuch.com/recipe/nutrition/easy-grilled-chicken-teriyaki,36663/>Easy Grilled Chicken Teriyaki</a>",746.0
137,22,Easy Parmesan Crisps,Dinner,1.1,185,7,61,84,0,"<a href=https://www.eatthismuch.com/recipe/nutrition/easy-parmesan-crisps,1488023/>Easy Parmesan Crisps</a>",166.0
138,22,Roast Beef and Cheddar Sandwich,Snack,1.1,503,284,221,461,43,"<a href=https://www.eatthismuch.com/recipe/nutrition/roast-beef-and-cheddar-sandwich,906002/>Roast Beef and Cheddar Sandwich</a>",450.0
