,0,measure,amount,item,4,link_rece
32,,                                    1/2,                                    fruit,                                    Avocados,                                    ,"https://www.eatthismuch.com/recipe/nutrition/avocado-chicken-salad,924564/"
33,,                                    2,                                    tbsp,                                    Pico de gallo,                                    ,"https://www.eatthismuch.com/recipe/nutrition/avocado-chicken-salad,924564/"
34,,                                    4,"                                    cup, chopped or sliced",                                    Grape tomatoes,                                    ,"https://www.eatthismuch.com/recipe/nutrition/roasted-tomato-and-garlic,1505804/"
35,,                                    4,                                    clove,                                    Garlic,                                    ,"https://www.eatthismuch.com/recipe/nutrition/roasted-tomato-and-garlic,1505804/"
36,,                                    2,                                    tbsp,                                    Olive oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/roasted-tomato-and-garlic,1505804/"
37,,                                    1,                                    dash,                                    Salt,                                    ,"https://www.eatthismuch.com/recipe/nutrition/roasted-tomato-and-garlic,1505804/"
38,,                                    1,                                    dash,                                    Pepper,                                    ,"https://www.eatthismuch.com/recipe/nutrition/roasted-tomato-and-garlic,1505804/"
39,,                                    1,"                                    medium (approx 2-3/4"" long, 2-1/2 dia.)",                                    Red bell pepper,                                    ,"https://www.eatthismuch.com/recipe/nutrition/tuna-stuffed-pepper,1467007/"
40,,                                    1,                                    can,                                    Tuna,                                    ,"https://www.eatthismuch.com/recipe/nutrition/tuna-stuffed-pepper,1467007/"
41,,                                    1,                                    medium,                                    Cucumber,                                    ,"https://www.eatthismuch.com/recipe/nutrition/tuna-stuffed-pepper,1467007/"
42,,                                    1,                                    tbsp,                                    Mustard,                                    ,"https://www.eatthismuch.com/recipe/nutrition/tuna-stuffed-pepper,1467007/"
43,,                                    2,                                    cup,                                    Orange juice,                                    ,"https://www.eatthismuch.com/recipe/nutrition/orange-vanilla-protein-smoothie,717903/"
44,,                                    3,                                    tsp,                                    Vanilla extract,                                    ,"https://www.eatthismuch.com/recipe/nutrition/orange-vanilla-protein-smoothie,717903/"
45,,                                    1,                                    scoop (30g),                                    Whey protein powder,                                    ,"https://www.eatthismuch.com/recipe/nutrition/orange-vanilla-protein-smoothie,717903/"
46,,                                    1,                                    cup,                                    Ice cubes,                                    ,"https://www.eatthismuch.com/recipe/nutrition/orange-vanilla-protein-smoothie,717903/"
47,,                                    1 1/4,                                    cup,                                    Water,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cinnamon-almond-oatmeal,1012918/"
48,,                                    3/4,                                    cup,                                    Oatmeal,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cinnamon-almond-oatmeal,1012918/"
49,,                                    1,"                                    tbsp, whole",                                    Flaxseed,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cinnamon-almond-oatmeal,1012918/"
50,,                                    2,                                    tsp,                                    Cinnamon,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cinnamon-almond-oatmeal,1012918/"
51,,                                    1,                                    tbsp,                                    Almond butter,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cinnamon-almond-oatmeal,1012918/"
52,,                                    3,"                                    potato large (3"" to 4-1/4"" dia)",                                    Russet potatoes,                                    ,"https://www.eatthismuch.com/recipe/nutrition/crispy-hash-browns,1497791/"
53,,                                    4,                                    tbsp,                                    Canola oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/crispy-hash-browns,1497791/"
54,,                                    1,                                    tsp,                                    Salt,                                    ,"https://www.eatthismuch.com/recipe/nutrition/crispy-hash-browns,1497791/"
55,,                                    1,                                    slice large,                                    Multi-grain bread,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cream-cheese-toast,905955/"
56,,                                    1,                                    tbsp,                                    Cream cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cream-cheese-toast,905955/"
57,,                                    1/2,                                    tbsp,                                    Honey,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cream-cheese-toast,905955/"
58,,                                    2,                                    slice regular,                                    Multi-grain bread,                                    ,"https://www.eatthismuch.com/recipe/nutrition/apricot-jam-and-almond-butter-sandwich,907177/"
59,,                                    1,                                    tbsp,                                    Jams and preserves,                                    ,"https://www.eatthismuch.com/recipe/nutrition/apricot-jam-and-almond-butter-sandwich,907177/"
60,,                                    1,                                    tbsp,                                    Almond butter,                                    ,"https://www.eatthismuch.com/recipe/nutrition/apricot-jam-and-almond-butter-sandwich,907177/"
61,,                                    1,"                                    medium (approx 2-3/4"" long, 2-1/2 dia.)",                                    Red bell pepper,                                    ,"https://www.eatthismuch.com/recipe/nutrition/sliced-bell-pepper,516766/"
62,,                                    6,                                    oz,                                    Chicken breast,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chicken-mashed-potatoes,1012750/"
63,,                                    2,                                    tsp,                                    Olive oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chicken-mashed-potatoes,1012750/"
64,,                                    1/2,"                                    cup, diced",                                    Potato,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chicken-mashed-potatoes,1012750/"
65,,                                    1,                                    tsp,                                    Chicken broth bouillon,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chicken-mashed-potatoes,1012750/"
66,,                                    1,"                                    cloves, minced",                                    Garlic,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chicken-mashed-potatoes,1012750/"
67,,                                    1/4,"                                    tsp, ground",                                    Pepper,                                    ,"https://www.eatthismuch.com/recipe/nutrition/chicken-mashed-potatoes,1012750/"
68,,                                    2,                                    slice,                                    Whole-wheat bread,                                    ,"https://www.eatthismuch.com/recipe/nutrition/egg-and-cheese-breakfast-sandwich,717847/"
69,,                                    1,"                                    spray , about 1/3 second",                                    Pam cooking spray,                                    ,"https://www.eatthismuch.com/recipe/nutrition/egg-and-cheese-breakfast-sandwich,717847/"
70,,                                    1,                                    extra large,                                    Egg,                                    ,"https://www.eatthismuch.com/recipe/nutrition/egg-and-cheese-breakfast-sandwich,717847/"
71,,                                    1,                                    slice (3/4 oz),                                    American cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/egg-and-cheese-breakfast-sandwich,717847/"
72,,                                    1,                                    cup,                                    Pasta,                                    ,"https://www.eatthismuch.com/recipe/nutrition/pasta-with-corn-and-chicken,3179496/"
73,,                                    1,                                    half breast (fillet),                                    Chicken breast,                                    ,"https://www.eatthismuch.com/recipe/nutrition/pasta-with-corn-and-chicken,3179496/"
74,,                                    1,                                    tbsp,                                    Olive oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/pasta-with-corn-and-chicken,3179496/"
75,,                                    1,                                    can (303 x 406),                                    Corn,                                    ,"https://www.eatthismuch.com/recipe/nutrition/pasta-with-corn-and-chicken,3179496/"
76,,                                    1,"                                    spray , about 1/3 second",                                    Pam cooking spray,                                    ,"https://www.eatthismuch.com/recipe/nutrition/broccoli-feta-omelet-with-toast,853858/"
77,,                                    1,                                    cup flowerets,                                    Broccoli,                                    ,"https://www.eatthismuch.com/recipe/nutrition/broccoli-feta-omelet-with-toast,853858/"
78,,                                    2,                                    large,                                    Egg,                                    ,"https://www.eatthismuch.com/recipe/nutrition/broccoli-feta-omelet-with-toast,853858/"
79,,                                    1,                                    oz,                                    Feta cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/broccoli-feta-omelet-with-toast,853858/"
80,,                                    2,                                    slice,                                    Rye bread,                                    ,"https://www.eatthismuch.com/recipe/nutrition/broccoli-feta-omelet-with-toast,853858/"
81,,                                    1/4,                                    tsp,                                    Dill,                                    ,"https://www.eatthismuch.com/recipe/nutrition/broccoli-feta-omelet-with-toast,853858/"
82,,                                    1,                                    tbsp,                                    Olive oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/kielbasa-and-cauliflower-stir-fry,907109/"
83,,                                    32,                                    oz,                                    Kielbasa,                                    ,"https://www.eatthismuch.com/recipe/nutrition/kielbasa-and-cauliflower-stir-fry,907109/"
84,,                                    1,"                                    head large (6-7"" dia.)",                                    Cauliflower,                                    ,"https://www.eatthismuch.com/recipe/nutrition/kielbasa-and-cauliflower-stir-fry,907109/"
85,,                                    1,                                    onion,                                    Onions,                                    ,"https://www.eatthismuch.com/recipe/nutrition/kielbasa-and-cauliflower-stir-fry,907109/"
86,,                                    1/4,                                    tsp,                                    Pepper,                                    ,"https://www.eatthismuch.com/recipe/nutrition/kielbasa-and-cauliflower-stir-fry,907109/"
87,,                                    2,"                                    cloves, minced",                                    Garlic,                                    ,"https://www.eatthismuch.com/recipe/nutrition/kielbasa-and-cauliflower-stir-fry,907109/"
88,,                                    2,                                    slice regular,                                    Multi-grain bread,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-jelly,33486/"
89,,                                    1,                                    tsp,                                    Butter,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-jelly,33486/"
90,,                                    1 1/2,                                    tbsp,                                    Peanut butter,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-jelly,33486/"
91,,                                    1,                                    tbsp,                                    Jams and preserves,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-jelly,33486/"
92,,                                    1,                                    can (5 oz) yields,                                    Canned chicken,                                    ,"https://www.eatthismuch.com/recipe/nutrition/lime-chicken-salad,907212/"
93,,                                    2,                                    tsp,                                    Lime juice,                                    ,"https://www.eatthismuch.com/recipe/nutrition/lime-chicken-salad,907212/"
94,,                                    1,                                    dash,                                    Salt,                                    ,"https://www.eatthismuch.com/recipe/nutrition/lime-chicken-salad,907212/"
95,,                                    4,"                                    leaf, large",                                    Lettuce,                                    ,"https://www.eatthismuch.com/recipe/nutrition/lime-chicken-salad,907212/"
96,,                                    60,                                    grams,                                    Whey protein powder,                                    ,"https://www.eatthismuch.com/recipe/nutrition/coconut-milk-protein-shake,34529/"
97,,                                    1,                                    cup,                                    Pure Coconut Milk,                                    ,"https://www.eatthismuch.com/recipe/nutrition/coconut-milk-protein-shake,34529/"
98,,                                    2,                                    tbsp,                                    Cocoa,                                    ,"https://www.eatthismuch.com/recipe/nutrition/coconut-milk-protein-shake,34529/"
99,,                                    1,                                    Italian tomato,                                    Tomatoes,                                    ,"https://www.eatthismuch.com/recipe/nutrition/toast-with-tomato-onion-hummus,332002/"
100,,                                    1,                                    tbsp chopped,                                    Onions,                                    ,"https://www.eatthismuch.com/recipe/nutrition/toast-with-tomato-onion-hummus,332002/"
101,,                                    1/4,                                    cup,                                    Hummus,                                    ,"https://www.eatthismuch.com/recipe/nutrition/toast-with-tomato-onion-hummus,332002/"
102,,                                    1,                                    dash,                                    Pepper,                                    ,"https://www.eatthismuch.com/recipe/nutrition/toast-with-tomato-onion-hummus,332002/"
103,,                                    1,                                    dash,                                    Salt,                                    ,"https://www.eatthismuch.com/recipe/nutrition/toast-with-tomato-onion-hummus,332002/"
104,,                                    1,                                    slice,                                    Whole-wheat bread,                                    ,"https://www.eatthismuch.com/recipe/nutrition/toast-with-tomato-onion-hummus,332002/"
105,,                                    1,"                                    medium (7"" to 7-7/8"" long)",                                    Banana,                                    ,"https://www.eatthismuch.com/recipe/nutrition/baked-cinnamon-bananas,906529/"
106,,                                    1,                                    tsp,                                    Cinnamon,                                    ,"https://www.eatthismuch.com/recipe/nutrition/baked-cinnamon-bananas,906529/"
107,,                                    2,                                    tsp,                                    Honey,                                    ,"https://www.eatthismuch.com/recipe/nutrition/baked-cinnamon-bananas,906529/"
108,,                                    10,                                    medium,                                    Baby carrots,                                    ,"https://www.eatthismuch.com/recipe/nutrition/fruit-vegetable-plate-with-almonds-cheese,1478259/"
109,,                                    1/2,"                                    medium (3"" dia)",                                    Apples,                                    ,"https://www.eatthismuch.com/recipe/nutrition/fruit-vegetable-plate-with-almonds-cheese,1478259/"
110,,                                    1,                                    oz,                                    Cheddar or colby cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/fruit-vegetable-plate-with-almonds-cheese,1478259/"
111,,                                    20,                                    almond,                                    Almonds,                                    ,"https://www.eatthismuch.com/recipe/nutrition/fruit-vegetable-plate-with-almonds-cheese,1478259/"
112,,                                    1/2,"                                    breast, bone and skin removed",                                    Chicken breast,                                    ,"https://www.eatthismuch.com/recipe/nutrition/bbq-chicken-sandwich,50746/"
113,,                                    2,                                    slice,                                    Whole-wheat bread,                                    ,"https://www.eatthismuch.com/recipe/nutrition/bbq-chicken-sandwich,50746/"
114,,                                    1,                                    serving 2 tbsp,                                    Barbecue sauce,                                    ,"https://www.eatthismuch.com/recipe/nutrition/bbq-chicken-sandwich,50746/"
115,,                                    1,                                    oz,                                    Cheddar cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/bbq-chicken-sandwich,50746/"
116,,                                    1,"                                    spray , about 1/3 second",                                    Pam cooking spray,                                    ,"https://www.eatthismuch.com/recipe/nutrition/turkey-goat-cheese-and-spinach-egg-white-omelet,3088080/"
117,,                                    1/2,"                                    cup, chopped",                                    Onions,                                    ,"https://www.eatthismuch.com/recipe/nutrition/turkey-goat-cheese-and-spinach-egg-white-omelet,3088080/"
118,,                                    1/2,                                    cup diced,                                    Mushrooms,                                    ,"https://www.eatthismuch.com/recipe/nutrition/turkey-goat-cheese-and-spinach-egg-white-omelet,3088080/"
119,,                                    3,                                    oz,                                    Deli cut turkey,                                    ,"https://www.eatthismuch.com/recipe/nutrition/turkey-goat-cheese-and-spinach-egg-white-omelet,3088080/"
120,,                                    4,                                    egg white (separated from yolk),                                    Egg white,                                    ,"https://www.eatthismuch.com/recipe/nutrition/turkey-goat-cheese-and-spinach-egg-white-omelet,3088080/"
121,,                                    1,                                    cup,                                    Spinach,                                    ,"https://www.eatthismuch.com/recipe/nutrition/turkey-goat-cheese-and-spinach-egg-white-omelet,3088080/"
122,,                                    1,                                    oz,                                    Goat cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/turkey-goat-cheese-and-spinach-egg-white-omelet,3088080/"
123,,                                    2,"                                    spray , about 1/3 second",                                    Pam cooking spray,                                    ,"https://www.eatthismuch.com/recipe/nutrition/ham-and-egg-scramble,928005/"
124,,                                    2,                                    oz,                                    Honey ham,                                    ,"https://www.eatthismuch.com/recipe/nutrition/ham-and-egg-scramble,928005/"
125,,                                    3,                                    large,                                    Egg,                                    ,"https://www.eatthismuch.com/recipe/nutrition/ham-and-egg-scramble,928005/"
126,,                                    1,                                    pinch,                                    Cayenne pepper,                                    ,"https://www.eatthismuch.com/recipe/nutrition/ham-and-egg-scramble,928005/"
127,,                                    1/4,                                    tsp,                                    Turmeric,                                    ,"https://www.eatthismuch.com/recipe/nutrition/ham-and-egg-scramble,928005/"
128,,                                    1,                                    slice,                                    Whole-wheat bread,                                    ,"https://www.eatthismuch.com/recipe/nutrition/buttered-toast,254567/"
129,,                                    1/2,                                    tbsp,                                    Butter,                                    ,"https://www.eatthismuch.com/recipe/nutrition/buttered-toast,254567/"
130,,                                    1,"                                    medium bagel (3-1/2"" to 4"" dia)",                                    Bagels,                                    ,"https://www.eatthismuch.com/recipe/nutrition/bacon-egg-and-cheese-breakfast-bagel,1015949/"
131,,                                    2,                                    extra large,                                    Egg,                                    ,"https://www.eatthismuch.com/recipe/nutrition/bacon-egg-and-cheese-breakfast-bagel,1015949/"
132,,                                    1,                                    oz,                                    Cheddar cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/bacon-egg-and-cheese-breakfast-bagel,1015949/"
133,,                                    1,                                    cup pieces,                                    Turkey bacon,                                    ,"https://www.eatthismuch.com/recipe/nutrition/bacon-egg-and-cheese-breakfast-bagel,1015949/"
134,,                                    1/2,                                    cup,                                    Almond milk,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-banana-and-flax-green-smoothie,950253/"
135,,                                    1,"                                    medium (7"" to 7-7/8"" long)",                                    Banana,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-banana-and-flax-green-smoothie,950253/"
136,,                                    1,"                                    tbsp, ground",                                    Flaxseed,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-banana-and-flax-green-smoothie,950253/"
137,,                                    2,                                    cup,                                    Spinach,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-banana-and-flax-green-smoothie,950253/"
138,,                                    1,                                    tbsp,                                    Peanut butter,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-banana-and-flax-green-smoothie,950253/"
139,,                                    4,"                                    leaf, whole",                                    Basil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cottage-cheese-with-cucumbers-basil-cilantro,331991/"
140,,                                    2,                                    sprigs,                                    Fresh cilantro,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cottage-cheese-with-cucumbers-basil-cilantro,331991/"
141,,                                    1,"                                    cup, (not packed)",                                    Cottage cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cottage-cheese-with-cucumbers-basil-cilantro,331991/"
142,,                                    1/2,                                    cup slices,                                    Cucumber,                                    ,"https://www.eatthismuch.com/recipe/nutrition/cottage-cheese-with-cucumbers-basil-cilantro,331991/"
143,,                                    2,                                    cup,                                    Water,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spinach-banana-and-peanut-butter-protein-shake,927828/"
144,,                                    2,                                    tbsp,                                    Peanut butter,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spinach-banana-and-peanut-butter-protein-shake,927828/"
145,,                                    1,                                    scoop (30g),                                    Whey protein powder,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spinach-banana-and-peanut-butter-protein-shake,927828/"
146,,                                    1,"                                    medium (7"" to 7-7/8"" long)",                                    Banana,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spinach-banana-and-peanut-butter-protein-shake,927828/"
147,,                                    1,                                    cup,                                    Spinach,                                    ,"https://www.eatthismuch.com/recipe/nutrition/spinach-banana-and-peanut-butter-protein-shake,927828/"
148,,                                    1/2,"                                    cup, chopped",                                    Onions,                                    ,"https://www.eatthismuch.com/recipe/nutrition/tasty-turkey-spinach-omelet,56672/"
149,,                                    1/2,                                    cup diced,                                    Mushrooms,                                    ,"https://www.eatthismuch.com/recipe/nutrition/tasty-turkey-spinach-omelet,56672/"
150,,                                    3,                                    oz,                                    Deli cut turkey,                                    ,"https://www.eatthismuch.com/recipe/nutrition/tasty-turkey-spinach-omelet,56672/"
151,,                                    12,                                    tbsp,                                    Egg white,                                    ,"https://www.eatthismuch.com/recipe/nutrition/tasty-turkey-spinach-omelet,56672/"
152,,                                    1,                                    large,                                    Egg,                                    ,"https://www.eatthismuch.com/recipe/nutrition/tasty-turkey-spinach-omelet,56672/"
153,,                                    1/4,"                                    cup, shredded",                                    Cheddar cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/tasty-turkey-spinach-omelet,56672/"
154,,                                    1,                                    cup,                                    Spinach,                                    ,"https://www.eatthismuch.com/recipe/nutrition/tasty-turkey-spinach-omelet,56672/"
155,,                                    1,"                                    spray , about 1/3 second",                                    Pam cooking spray,                                    ,"https://www.eatthismuch.com/recipe/nutrition/turkey-and-spinach-omelet,907152/"
156,,                                    3,                                    oz,                                    Deli cut turkey,                                    ,"https://www.eatthismuch.com/recipe/nutrition/turkey-and-spinach-omelet,907152/"
157,,                                    1,                                    cup,                                    Spinach,                                    ,"https://www.eatthismuch.com/recipe/nutrition/turkey-and-spinach-omelet,907152/"
158,,                                    2,                                    large,                                    Egg,                                    ,"https://www.eatthismuch.com/recipe/nutrition/turkey-and-spinach-omelet,907152/"
159,,                                    1/4,"                                    cup, shredded",                                    Cheddar cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/turkey-and-spinach-omelet,907152/"
160,,                                    1/2,"                                    cup, sliced",                                    Mangos,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peach-mango-orange-smoothie,907083/"
161,,                                    1/2,                                    cup slices,                                    Peaches,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peach-mango-orange-smoothie,907083/"
162,,                                    1,                                    cup,                                    Orange juice,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peach-mango-orange-smoothie,907083/"
163,,                                    1,                                    cup,                                    Water,                                    ,"https://www.eatthismuch.com/recipe/nutrition/peach-mango-orange-smoothie,907083/"
164,,                                    1,"                                    spray , about 1/3 second",                                    Pam cooking spray,                                    ,"https://www.eatthismuch.com/recipe/nutrition/crispy-cheese-quesadilla,905822/"
165,,                                    1/2,"                                    cup, shredded",                                    Cheddar cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/crispy-cheese-quesadilla,905822/"
166,,                                    1,"                                    tortilla (approx 7-8"" dia)",                                    Tortillas,                                    ,"https://www.eatthismuch.com/recipe/nutrition/crispy-cheese-quesadilla,905822/"
167,,                                    1,                                    cup,                                    Whole milk,                                    ,"https://www.eatthismuch.com/recipe/nutrition/breakfast-oatmeal-with-milk-and-blueberries,905940/"
168,,                                    1/2,                                    cup,                                    Oatmeal,                                    ,"https://www.eatthismuch.com/recipe/nutrition/breakfast-oatmeal-with-milk-and-blueberries,905940/"
169,,                                    1,"                                    cup, unthawed","                                    Blueberries, frozen",                                    ,"https://www.eatthismuch.com/recipe/nutrition/breakfast-oatmeal-with-milk-and-blueberries,905940/"
170,,                                    6,                                    oz,                                    Chicken breast,                                    ,"https://www.eatthismuch.com/recipe/nutrition/hot-garlic-chicken-salad,1012754/"
171,,                                    1 1/2,                                    tbsp chopped,                                    Onions,                                    ,"https://www.eatthismuch.com/recipe/nutrition/hot-garlic-chicken-salad,1012754/"
172,,                                    2,"                                    cloves, minced",                                    Garlic,                                    ,"https://www.eatthismuch.com/recipe/nutrition/hot-garlic-chicken-salad,1012754/"
173,,                                    1,                                    tbsp,                                    Balsamic vinegar,                                    ,"https://www.eatthismuch.com/recipe/nutrition/hot-garlic-chicken-salad,1012754/"
174,,                                    1,                                    wedge yields,                                    Lemon juice,                                    ,"https://www.eatthismuch.com/recipe/nutrition/hot-garlic-chicken-salad,1012754/"
175,,                                    4,                                    oz,                                    Field Greens Salad Mix,                                    ,"https://www.eatthismuch.com/recipe/nutrition/hot-garlic-chicken-salad,1012754/"
176,,                                    1/4,"                                    cup, halves",                                    Red peppers,                                    ,"https://www.eatthismuch.com/recipe/nutrition/hot-garlic-chicken-salad,1012754/"
177,,                                    2,                                    slice,                                    Whole-wheat bread,                                    ,"https://www.eatthismuch.com/recipe/nutrition/ham-and-cottage-cheese-sandwich,905920/"
178,,                                    2,                                    oz,                                    Cottage cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/ham-and-cottage-cheese-sandwich,905920/"
179,,                                    3,"                                    slice, medium (1/4"" thick)",                                    Tomatoes,                                    ,"https://www.eatthismuch.com/recipe/nutrition/ham-and-cottage-cheese-sandwich,905920/"
180,,                                    2,                                    slice,                                    Sliced ham,                                    ,"https://www.eatthismuch.com/recipe/nutrition/ham-and-cottage-cheese-sandwich,905920/"
181,,                                    1,                                    cup,                                    Nonfat greek yogurt,                                    ,"https://www.eatthismuch.com/recipe/nutrition/blueberry-protein-pudding,386736/"
